,tweet_id,timestamp,dog_stage,retweet_count,favorite_count,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,valid_numerator,valid_denominator,like_category
0,892420643555336193,2017-08-01 16:23:56+00:00,,7010,33829,1.0,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False,13,10,less likes
1,892177421306343426,2017-08-01 00:17:27+00:00,,5302,29340,1.0,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,13,10,less likes
2,891815181378084864,2017-07-31 00:18:03+00:00,,3482,22070,1.0,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,12,10,less likes
3,891689557279858688,2017-07-30 15:58:51+00:00,,7228,36953,1.0,paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False,13,10,less likes
4,891327558926688256,2017-07-29 16:00:24+00:00,,7765,35288,2.0,basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True,12,10,less likes
5,891087950875897856,2017-07-29 00:08:17+00:00,,2602,17815,1.0,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False,13,10,less likes
6,890971913173991426,2017-07-28 16:27:12+00:00,,1666,10369,1.0,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,13,10,less likes
7,890729181411237888,2017-07-28 00:22:40+00:00,,15761,56889,2.0,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True,13,10,less likes
8,890609185150312448,2017-07-27 16:25:51+00:00,,3624,24531,1.0,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,13,10,less likes
9,890240255349198849,2017-07-26 15:59:51+00:00,doggo,6101,27971,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,14,10,less likes
10,890240255349198849,2017-07-26 15:59:51+00:00,,6101,27971,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,14,10,less likes
11,890006608113172480,2017-07-26 00:31:25+00:00,,6154,27052,1.0,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,13,10,less likes
12,889880896479866881,2017-07-25 16:11:53+00:00,,4168,24574,1.0,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,13,10,less likes
13,889665388333682689,2017-07-25 01:55:32+00:00,,8353,42074,1.0,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,13,10,less likes
14,889665388333682689,2017-07-25 01:55:32+00:00,puppo,8353,42074,1.0,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,13,10,less likes
15,889638837579907072,2017-07-25 00:10:02+00:00,,3718,23687,1.0,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,12,10,less likes
16,889531135344209921,2017-07-24 17:02:04+00:00,,1884,13358,1.0,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True,13,10,less likes
17,889531135344209921,2017-07-24 17:02:04+00:00,puppo,1884,13358,1.0,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True,13,10,less likes
18,889278841981685760,2017-07-24 00:19:32+00:00,,4447,22132,1.0,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True,13,10,less likes
19,888917238123831296,2017-07-23 00:22:39+00:00,,3765,25652,1.0,golden_retriever,0.714719,True,Tibetan_mastiff,0.1201839999999999,True,Labrador_retriever,0.1055059999999999,True,12,10,less likes
20,888804989199671297,2017-07-22 16:56:37+00:00,,3538,22481,1.0,golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True,13,10,less likes
21,888554962724278272,2017-07-22 00:23:06+00:00,,2879,17322,3.0,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True,13,10,less likes
22,888078434458587136,2017-07-20 16:49:33+00:00,,2895,19158,1.0,French_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True,12,10,less likes
23,887705289381826560,2017-07-19 16:06:48+00:00,,4536,26635,1.0,basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.0262364,True,13,10,less likes
24,887517139158093824,2017-07-19 03:39:09+00:00,,9856,40743,1.0,limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False,14,10,less likes
25,887473957103951883,2017-07-19 00:47:34+00:00,,15031,60214,2.0,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,13,10,less likes
26,887343217045368832,2017-07-18 16:08:03+00:00,,8817,29602,1.0,Mexican_hairless,0.330741,True,sea_lion,0.275645,False,Weimaraner,0.134203,True,13,10,less likes
27,887101392804085760,2017-07-18 00:07:08+00:00,,4993,26995,1.0,Samoyed,0.733942,True,Eskimo_dog,0.0350295,True,Staffordshire_bullterrier,0.0297047,True,12,10,less likes
28,886983233522544640,2017-07-17 16:17:36+00:00,,6321,30401,2.0,Chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False,13,10,less likes
29,886680336477933568,2017-07-16 20:14:00+00:00,,3737,19742,1.0,convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441726999999999,False,13,10,less likes
30,886366144734445568,2017-07-15 23:25:31+00:00,,2631,18554,1.0,French_bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_bull,7.55616e-05,True,12,10,less likes
31,886366144734445568,2017-07-15 23:25:31+00:00,pupper,2631,18554,1.0,French_bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_bull,7.55616e-05,True,12,10,less likes
32,886258384151887873,2017-07-15 16:17:19+00:00,,5293,24536,1.0,pug,0.943575,True,shower_cap,0.0252856,False,Siamese_cat,0.00284892,False,13,10,less likes
33,885984800019947520,2017-07-14 22:10:11+00:00,,5617,28624,1.0,Blenheim_spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese_mountain_dog,0.00623915,True,12,10,less likes
34,885528943205470208,2017-07-13 15:58:47+00:00,,5331,31614,1.0,pug,0.369275,True,Labrador_retriever,0.265835,True,kuvasz,0.134697,True,13,10,less likes
35,885167619883638784,2017-07-12 16:03:00+00:00,,3670,19267,4.0,malamute,0.8124819999999999,True,Siberian_husky,0.0717125,True,Eskimo_dog,0.0557697,True,13,10,less likes
36,884925521741709313,2017-07-12 00:01:00+00:00,,15032,67315,1.0,Italian_greyhound,0.259916,True,American_Staffordshire_terrier,0.198451,True,Staffordshire_bullterrier,0.127725,True,12,10,less likes
37,884876753390489601,2017-07-11 20:47:12+00:00,,4676,24393,1.0,chow,0.822103,True,Norwich_terrier,0.106075,True,Norfolk_terrier,0.0373485,True,13,10,less likes
